fund_group,fund_id,name,ticker,fund_stkid,advt,fund_type
fund,04B8BC-E,American Beacon Balanced Fund,ABCCX US,135909,0,MF_O
fund,04B8BD-E,American Beacon Large Cap Value Fund,AADEX US,25667,0,MF_O
fund,04B8BK-E,RBC Enterprise Fund,TETAX US,84097,0,MF_O
fund,04B8BQ-E,Cohen & Steers Real Estate Securities Fund,CREFX US,210588,0,MF_O
fund,04B8BY-E,Voya Growth & Income Portfolio,ISVGX US,119362,0,MF_O
fund,04B8C0-E,American Beacon International Equity Fund,AAISX US,79032,0,MF_O
fund,04B8CT-E,Alger Funds - Capital Appreciation Fund,ACAAX US,47886,0,MF_O
fund,04B8CY-E,American Century Strategic Allocation Conservative Fund,ACCAX US,51538,0,MF_O
fund,04B8D3-E,Invesco Equity & Income Fund,ACETX US,89047,0,MF_O
fund,04B8DG-E,Columbia Acorn International Fund,CCYIX US,161407,0,MF_O
fund,04B8DM-E,Columbia Acorn Fund,LACAX US,67346,0,MF_O
fund,04B8DN-E,Invesco Comstock Fund,ICSFX US,160103,0,MF_O
fund,04B8DY-E,Macquarie Balanced Fund,IBNAX US,81969,0,MF_O
fund,04B8FC-E,Invesco EQV European Equity Fund,,52052,0,MF_O
fund,04B8FN-E,American Funds EuroPacific Growth Fund,AEPCX US,68203,0,MF_O
fund,04B8FR-E,Voya Small Company Portfolio,VSPRX US,195782,0,MF_O
fund,04B8HJ-E,American Funds Investment Company of America,AICCX US,68158,0,MF_O
fund,04B8HM-E,Alger Institutional Funds - Capital Appreciation Inst. Fund,ALARX US,51563,0,MF_O
fund,04B8HN-E,Alger Funds - Growth & Income Fund,ALBAX US,47891,0,MF_O
fund,04B8HR-E,Alger Large Cap Growth Portfolio,AAGOX US,74359,0,MF_O
fund,04B8HS-E,Alger Institutional Funds - Focus Equity Fund,ALGYX US,209301,0,MF_O
fund,04B8HV-E,Alger Institutional Funds - Mid Cap Growth Institutional Fund,AGIRX US,77736,0,MF_O
fund,04B8HY-E,Alger Small Cap Growth Portfolio,AASOX US,74355,0,MF_O
fund,04B8HZ-E,Alger Institutional Funds - Small Cap Growth Inst. Fund,ASIRX US,77729,0,MF_O
fund,04B8J0-E,AB Sustainable Global Thematic Fund,ALTFX US,4678,0,MF_O
fund,04B8JD-E,American Funds AMCAP Fund,RAFBX US,74663,0,MF_O
fund,04B8JJ-E,Alger Mid Cap Growth Portfolio,AMGOX US,74349,0,MF_O
fund,04B8JV-E,American Growth Fund Series One,AMRAX US,43308,0,MF_O
fund,04B8JW-E,American Mutual Fund,RMFGX US,125151,0,MF_O
fund,04B8K7-E,American Funds Fundamental Investors,CFNCX US,73584,0,MF_O
fund,04B8KC-E,American Funds New Economy Fund,FNEEX US,265445,0,MF_O
fund,04B8KH-E,American Funds New Perspective Fund,RNPEX US,74672,0,MF_O
fund,04B8KY-E,AB Large Cap Growth Fund,APGCX US,42285,0,MF_O
fund,04B8L7-E,LKCM Aquinas Catholic Equity Fund,AQEIX US,31942,0,MF_O
fund,04B8LL-E,Ariel Fund,ARGFX US,14507,0,MF_O
fund,04B8LN-E,Wilmington Enhanced Dividend Income Strategy Fund,WDIAX US,55313,0,MF_O
fund,04B8M6-E,Artisan International Fund,ARTIX US,41033,0,MF_O
fund,04B8MJ-E,DWS Small Cap Core Fund,SZCAX US,47312,0,MF_O
fund,04B8MM-E,Invesco Asia Pacific Growth Fund,ASISX US,210624,0,MF_O
fund,04B8N2-E,American Century Heritage Fund,ACILX US,289951,0,MF_O
fund,04B8NL-E,AB Sustainable International Thematic Fund,AWPZX US,277822,0,MF_O
fund,04B8NM-E,Washington Mutual Investors Fund,WSHFX US,68177,0,MF_O
fund,04B8NR-E,RBC Small Cap Core Fund,TEEAX US,84091,0,MF_O
fund,04B8NW-E,Baron Asset Fund,BARAX US,14910,0,MF_O
fund,04B8P3-E,Nationwide Bailard International Equities Fund,NWHMX US,169544,0,MF_O
fund,04B8PK-E,Brown Capital Management - Small Company Fund,BCSSX US,151227,0,MF_O
fund,04B8Q0-E,American Century Equity Growth Fund,AEYCX US,78555,0,MF_O
fund,04B8Q8-E,American Century Global Gold Fund,ACGGX US,71862,0,MF_O
fund,04B8QD-E,Baron Growth Fund,BGRFX US,35390,0,MF_O
fund,04B8R6-E,Boston Trust Asset Management Fund,BTBFX US,39196,0,MF_O
fund,04B8RJ-E,BNY Mellon Large Cap Equity Fund,DEYCX US,120891,0,MF_O
fund,04B8RL-E,UBS Funds - International Sustainable Equity Fund,ESPTX US,265536,0,MF_O
fund,04B8S2-E,Bridges Investment Fund,BRGIX US,54765,0,MF_O
fund,04B8S5-E,BlackRock High Equity Income Fund,BMCIX US,57476,0,MF_O
fund,04B8SY-E,Janus Henderson Small Cap Value Fund,JDSAX US,87265,0,MF_O
fund,04B8TN-E,DWS Small Cap Growth Fund,SSDSX US,88993,0,MF_O
fund,04B8TZ-E,Buffalo Flexible Allocation Fund,BUFBX US,35218,0,MF_O
fund,04B8V0-E,Buffalo Blue Chip Growth Fund,BUIEX US,241851,0,MF_O
fund,04B8V1-E,Buffalo Growth Fund,BUFGX US,37071,0,MF_O
fund,04B8V4-E,American Century Utilities Fund,BULIX US,28842,0,MF_O
fund,04B8V5-E,RMB Fund,RMBHX US,2760,0,MF_O
fund,04B8VC-E,Ariel Appreciation Fund,CAAPX US,23109,0,MF_O
fund,04B8VF-E,AB Global Risk Allocation Fund,CABIX US,90361,0,MF_O
fund,04B8VJ-E,Capital Income Builder,CAIFX US,120066,0,MF_O
fund,04B8VK-E,Cutler Equity Fund,DIVHX US,268045,0,MF_O
fund,04B8VY-E,Columbia Balanced Fund,CLREX US,140751,0,MF_O
fund,04B8W3-E,Calvert Mid Cap Fund,CCACX US,47387,0,MF_O
fund,04B8WK-E,Commerce Mid Cap Growth Fund,CFAGX US,35510,0,MF_O
fund,04B8WW-E,Commerce Growth Fund,CFGRX US,35508,0,MF_O
fund,04B8X2-E,Clipper Funds Trust,CFIMX US,12320,0,MF_O
fund,04B8XX-E,Chase Growth Fund,CHAIX US,104573,0,MF_O
fund,04B8XY-E,AB Discovery Growth Fund,CHCZX US,177488,0,MF_O
fund,04B8YF-E,Invesco Charter Fund,CHTCX US,50789,0,MF_O
fund,04B8YG-E,AMG River Road Mid Cap Value Fund,ABMIX US,85715,0,MF_O
fund,04B8YY-E,Columbia Select Mid Cap Growth Fund,CLSPX US,12819,0,MF_O
fund,04B8Z3-E,RBC SMID Cap Growth Fund,TMCAX US,54267,0,MF_O
fund,04B8Z4-E,Wellington Shields All Cap Fund,WSACX US,46216,0,MF_O
fund,04B8Z5-E,BlackRock Mid Cap Growth Equity Portfolio,BMRRX US,101680,0,MF_O
fund,04B8ZH-E,Columbia Small Cap Growth Fund,CMSCX US,44493,0,MF_O
fund,04B8ZS-E,Commonwealth Japan Fund,CNJFX US,29476,0,MF_O
fund,04B903-E,Commonwealth Australia/New Zealand Fund,CNZLX US,31934,0,MF_O
fund,04B916-E,Calvert Equity Fund,CEYIX US,67269,0,MF_O
fund,04B919-E,Columbia Small Cap Value Fund I,CSSCX US,51109,0,MF_O
fund,04B91C-E,"Cohen & Steers Realty Shares, Inc.",CSJAX US,241900,0,MF_O
fund,04B91D-E,Cohen & Steers Global Realty Shares Fund,CSFAX US,87230,0,MF_O
fund,04B91Y-E,Calamos Growth Fund,CVGCX US,46379,0,MF_O
fund,04B927-E,American Funds Capital World Growth & Income Fund,RWIGX US,125155,0,MF_O
fund,04B929-E,Calvert International Equity Fund,CIESX US,237165,0,MF_O
fund,04B92C-E,Dean Small Cap Value Fund,DASCX US,48331,0,MF_O
fund,04B92J-E,BNY Mellon Dynamic Value Fund,DRGVX US,78657,0,MF_O
fund,04B92L-E,Dean Mid Cap Value Fund,DALCX US,52905,0,MF_O
fund,04B93K-E,DFA Large Cap International Portfolio,DFALX US,28412,0,MF_O
fund,04B943-E,DFA Real Estate Securities Portfolio,DFREX US,31894,0,MF_O
fund,04B944-E,DFA Asia Pacific Small Company Portfolio,DFRSX US,28411,0,MF_O
fund,04B945-E,DFA US Micro Cap Portfolio,DFSCX US,17140,0,MF_O
fund,04B946-E,DFA US Small Cap Value Portfolio,DFSVX US,32572,0,MF_O
fund,04B949-E,"BNY Mellon Appreciation Fund, Inc.",DGAGX US,12826,0,MF_O
fund,04B94T-E,DFA International Small Cap Value Portfolio,DISVX US,37036,0,MF_O
fund,04B958-E,BNY Mellon Opportunistic Midcap Value Fund,DVLCX US,118544,0,MF_O
fund,04B95H-E,BNY Mellon Active MidCap Fund,DNLDX US,12366,0,MF_O
fund,04B95K-E,Dodge & Cox Stock Fund,DODGX US,435,0,MF_O
fund,04B962-E,Mondrian International Equity Fund,MPIEX US,33895,0,MF_O
fund,04B96Q-E,"BNY Mellon Large Cap Securities Fund, Inc.",DREVX US,621,0,MF_O
fund,04B977-E,"BNY Mellon Sustainable US Equity Fund, Inc.",DTCCX US,62595,0,MF_O
fund,04B97M-E,BNY Mellon Institutional S&P 500 Stock Index Fund,DSPIX US,31624,0,MF_O
fund,04B98N-E,NYLI Winslow Large Cap Growth Fund,MLRRX US,90915,0,MF_O
fund,04B98P-E,Provident Trust Strategy Fund,PROVX US,46248,0,MF_O
fund,04B98Q-E,NYLI Balanced Fund,,82570,0,MF_O
fund,04B999-E,MainStay WMC Small Companies Fund,MOINX US,116170,0,MF_O
fund,04B99K-E,Elfun International Equity Fund,EGLBX US,18030,0,MF_O
fund,04B9BS-E,Elfun Diversified Fund,ELDFX US,18032,0,MF_O
fund,04B9BT-E,Elfun Trusts,ELFNX US,30,0,MF_O
fund,04B9CP-E,Fidelity Advisor Series I - Equity Growth Fund,FAEGX US,28112,0,MF_O
fund,04B9CR-E,Shelton Equity Income Fund,EQTKX US,80984,0,MF_O
fund,04B9GH-E,American Funds Growth Fund of America,GFFFX US,120072,0,MF_O
fund,04B9GM-E,Eaton Vance Balanced Fund,EIIFX US,160282,0,MF_O
fund,04B9HJ-E,Fidelity Advisor Health Care Fund,FIKCX US,230569,0,MF_O
fund,04B9HL-E,Fidelity Advisor Series VII - Technology Fund,FATIX US,55604,0,MF_O
