Fund_Name,CIK
American Beacon Balanced Fund,0000809593
American Beacon Large Cap Value Fund,0000809593
RBC Enterprise Fund,0001272950
Cohen & Steers Real Estate Securities Fund,
Voya Growth & Income Portfolio,
American Beacon International Equity Fund,0000809593
Alger Funds - Capital Appreciation Fund,0000003521
American Century Strategic Allocation Conservative Fund,0000924211
Invesco Equity & Income Fund,
Columbia Acorn International Fund,
Columbia Acorn Fund,0000002110
Invesco Comstock Fund,0000725781
Macquarie Balanced Fund,0000883622
Invesco EQV European Equity Fund,0000880859
American Funds EuroPacific Growth Fund,
Voya Small Company Portfolio,0001015965
American Funds Investment Company of America,
Alger Institutional Funds - Capital Appreciation Inst. Fund,
Alger Funds - Growth & Income Fund,
Alger Large Cap Growth Portfolio,0000832566
Alger Institutional Funds - Focus Equity Fund,0000911415
Alger Institutional Funds - Mid Cap Growth Institutional Fund,0000911415
Alger Small Cap Growth Portfolio,0000832566
Alger Institutional Funds - Small Cap Growth Inst. Fund,
AB Sustainable Global Thematic Fund,0000350181
American Funds AMCAP Fund,
Alger Mid Cap Growth Portfolio,0000832566
American Growth Fund Series One,0000005138
American Mutual Fund,0000100334
American Funds Fundamental Investors,0000039473
American Funds New Economy Fund,
American Funds New Perspective Fund,
AB Large Cap Growth Fund,0000081443
LKCM Aquinas Catholic Equity Fund,0000918942
Ariel Fund,0000798365
Wilmington Enhanced Dividend Income Strategy Fund,0000830744
Artisan International Fund,0000935015
DWS Small Cap Core Fund,0000088064
Invesco Asia Pacific Growth Fund,
American Century Heritage Fund,0000100334
AB Sustainable International Thematic Fund,0000920701
Washington Mutual Investors Fund,0000729528
RBC Small Cap Core Fund,0001272950
Baron Asset Fund,0001050084
Nationwide Bailard International Equities Fund,0001048702
Brown Capital Management - Small Company Fund,0000869351
American Century Equity Growth Fund,0000827060
American Century Global Gold Fund,0000827060
Baron Growth Fund,0000810902
Boston Trust Asset Management Fund,0000882748
BNY Mellon Large Cap Equity Fund,0000799295
UBS Funds - International Sustainable Equity Fund,0000886244
Bridges Investment Fund,0000014170
BlackRock High Equity Income Fund,0000844779
Janus Henderson Small Cap Value Fund,0000277751
DWS Small Cap Growth Fund,0000088064
Buffalo Flexible Allocation Fund,0001135300
Buffalo Blue Chip Growth Fund,0001135300
Buffalo Growth Fund,0001135300
American Century Utilities Fund,0000827060
RMB Fund,0000798290
Ariel Appreciation Fund,0000798365
AB Global Risk Allocation Fund,0000069752
Capital Income Builder,0000729528
Cutler Equity Fund,0000892568
Columbia Balanced Fund,0000876613
Calvert Mid Cap Fund,0001121624
Commerce Mid Cap Growth Fund,
Commerce Growth Fund,0000926243
Clipper Funds Trust,0001316506
Chase Growth Fund,0001027596
AB Discovery Growth Fund,0000019614
Invesco Charter Fund,0000105377
AMG River Road Mid Cap Value Fund,0000912036
Columbia Select Mid Cap Growth Fund,0000773757
RBC SMID Cap Growth Fund,0001272950
Wellington Shields All Cap Fund,0000931491
BlackRock Mid Cap Growth Equity Portfolio,0000844779
Columbia Small Cap Growth Fund,0000854126
Commonwealth Japan Fund,0000793601
Commonwealth Australia/New Zealand Fund,
Calvert Equity Fund,0000319676
Columbia Small Cap Value Fund I,0001097519
"Cohen & Steers Realty Shares, Inc.",
Cohen & Steers Global Realty Shares Fund,
Calamos Growth Fund,0000826732
American Funds Capital World Growth & Income Fund,
Calvert International Equity Fund,0000884110
Dean Small Cap Value Fund,0001027624
BNY Mellon Dynamic Value Fund,0000914775
Dean Mid Cap Value Fund,0001199046
DFA Large Cap International Portfolio,0000355437
