Fund_Name,CIK,Series_CIK
American Beacon Balanced Fund,0000809593,S000000718
American Beacon Large Cap Value Fund,0000809593,S000001091
RBC Enterprise Fund,0001272950,S000001811
Cohen & Steers Real Estate Securities Fund,,
Voya Growth & Income Portfolio,,
American Beacon International Equity Fund,0000809593,S000001825
Alger Funds - Capital Appreciation Fund,0000911415,S000009163
American Century Strategic Allocation Conservative Fund,0000924211,S000005933
Invesco Equity & Income Fund,,
Columbia Acorn International Fund,,
Columbia Acorn Fund,0000002110,S000033622
Invesco Comstock Fund,0001418144,S000027834
Macquarie Balanced Fund,0000883622,S000024823
Invesco EQV European Equity Fund,0000880859,S000000227
American Funds EuroPacific Growth Fund,,
Voya Small Company Portfolio,0001015965,S000008709
American Funds Investment Company of America,,
Alger Institutional Funds - Capital Appreciation Inst. Fund,,
Alger Funds - Growth & Income Fund,,
Alger Large Cap Growth Portfolio,0000832566,S000009214
Alger Institutional Funds - Focus Equity Fund,0000911415,S000009201
Alger Institutional Funds - Mid Cap Growth Institutional Fund,0000911415,S000009203
Alger Small Cap Growth Portfolio,0000832566,S000009215
Alger Institutional Funds - Small Cap Growth Inst. Fund,,
AB Sustainable Global Thematic Fund,0000933691,S000010074
American Funds AMCAP Fund,,
Alger Mid Cap Growth Portfolio,0000832566,S000009218
American Growth Fund Series One,0000005138,S000012125
American Mutual Fund,0001048702,S000008999
American Funds Fundamental Investors,0000039473,S000009227
American Funds New Economy Fund,,
American Funds New Perspective Fund,,
AB Large Cap Growth Fund,0000825316,S000010251
LKCM Aquinas Catholic Equity Fund,0000918942,S000004610
Ariel Fund,0000356476,S000005025
Wilmington Enhanced Dividend Income Strategy Fund,0000830744,S000005530
Artisan International Fund,0000935015,S000076279
DWS Small Cap Core Fund,0000088064,S000005709
Invesco Asia Pacific Growth Fund,,
American Century Heritage Fund,0000100334,S000006206
AB Sustainable International Thematic Fund,0000825316,S000010094
Washington Mutual Investors Fund,0000104865,S000040667
RBC Small Cap Core Fund,0001272950,S000001812
Baron Asset Fund,0000810902,S000000587
Nationwide Bailard International Equities Fund,0001048702,S000041101
Brown Capital Management - Small Company Fund,0000869351,S000049041
American Century Equity Growth Fund,0000827060,S000005977
American Century Global Gold Fund,0000827060,S000005978
Baron Growth Fund,0000920547,S000000586
Boston Trust Asset Management Fund,0000882748,S000009921
BNY Mellon Large Cap Equity Fund,0000881773,S000019789
UBS Funds - International Sustainable Equity Fund,0000886244,S000002980
Bridges Investment Fund,0000811030,S000006176
BlackRock High Equity Income Fund,0000844779,S000001509
Janus Henderson Small Cap Value Fund,0000277751,S000010480
DWS Small Cap Growth Fund,0000797657,S000031150
Buffalo Flexible Allocation Fund,0001135300,S000022450
Buffalo Blue Chip Growth Fund,0001135300,S000022452
Buffalo Growth Fund,0001135300,S000022452
American Century Utilities Fund,0000827060,S000005982
RMB Fund,0000030126,S000035696
Ariel Appreciation Fund,0000798365,S000005025
AB Global Risk Allocation Fund,0000825316,S000009974
Capital Income Builder,0000933691,S000045163
Cutler Equity Fund,0000892568,S000001540
Columbia Balanced Fund,0001413032,S000010633
Calvert Mid Cap Fund,0000884110,S000080181
Commerce Mid Cap Growth Fund,,
Commerce Growth Fund,0000926243,S000010025
Clipper Funds Trust,0001316506,S000011372
Chase Growth Fund,0001027596,S000005073
AB Discovery Growth Fund,0000019614,S000010117
Invesco Charter Fund,0000105377,S000000277
AMG River Road Mid Cap Value Fund,0000912036,S000001125
Columbia Select Mid Cap Growth Fund,0001413032,S000012070
RBC SMID Cap Growth Fund,0001272950,S000001804
Wellington Shields All Cap Fund,0000931491,S000010456
BlackRock Mid Cap Growth Equity Portfolio,0000844779,S000001505
Columbia Small Cap Growth Fund,0001016510,S000010800
Commonwealth Japan Fund,0000793601,S000004492
Commonwealth Australia/New Zealand Fund,,
Calvert Equity Fund,0000353905,S000080179
Columbia Small Cap Value Fund I,0001137342,S000010793
"Cohen & Steers Realty Shares, Inc.",,
Cohen & Steers Global Realty Shares Fund,,
Calamos Growth Fund,0001437204,S000028143
American Funds Capital World Growth & Income Fund,,
Calvert International Equity Fund,0000884110,S000008724
Dean Small Cap Value Fund,0001199046,S000016035
BNY Mellon Dynamic Value Fund,0000914775,S000000498
Dean Mid Cap Value Fund,0001199046,S000016034
DFA Large Cap International Portfolio,0000355437,S000039440
DFA Real Estate Securities Portfolio,0000355437,S000021884
DFA Asia Pacific Small Company Portfolio,0000355437,S000000966
DFA US Micro Cap Portfolio,,
DFA US Small Cap Value Portfolio,,
"BNY Mellon Appreciation Fund, Inc.",0000318478,S000000008
DFA International Small Cap Value Portfolio,0000355437,S000000950
BNY Mellon Opportunistic Midcap Value Fund,0000914775,S000000461
BNY Mellon Active MidCap Fund,0000737520,S000000092
Dodge & Cox Stock Fund,,
Mondrian International Equity Fund,0000832545,S000051620
"BNY Mellon Large Cap Securities Fund, Inc.",0000030146,S000000068
"BNY Mellon Sustainable US Equity Fund, Inc.",,
BNY Mellon Institutional S&P 500 Stock Index Fund,,
NYLI Winslow Large Cap Growth Fund,0000787441,S000006905
Provident Trust Strategy Fund,0000796227,S000000834
NYLI Balanced Fund,0001469192,S000036714
MainStay WMC Small Companies Fund,,
Elfun International Equity Fund,0000817656,S000011817
Elfun Diversified Fund,0000821484,S000011823
Elfun Trusts,0000032339,S000011821
Fidelity Advisor Series I - Equity Growth Fund,0000722574,S000045650
Shelton Equity Income Fund,0000778206,S000016025
American Funds Growth Fund of America,,
Eaton Vance Balanced Fund,0000031266,S000005213
Fidelity Advisor Health Care Fund,0000315700,S000005329
Fidelity Advisor Series VII - Technology Fund,0000315700,S000005322
Fidelity Advisor Series VII - Financial Services Fund,,
Fidelity Advisor Series I -Growth Opportunities Fund,0000722574,S000042623
Fidelity Capital & Income Fund,,
Fidelity Advisor Series I - Large Cap Fund,0000722574,S000005112
FAM Dividend Focus Fund,0000797136,S000010873
FAM Value Fund,0000797136,S000010872
Fidelity Advisor Overseas Fund,0000744822,S000005434
NUVEEN Investment Funds- Nuveen Mid Cap Value Fund,0000820892,S000005556
Fidelity Asset Manager 70% Fund,,
Fidelity Asset Manager 20% Fund,,
Fidelity Asset Manager 50% Fund,,
Fidelity Balanced Fund,0000081205,S000005118
Fidelity Blue Chip Growth Fund,0000754510,S000007195
Fidelity Select Port. - Biotechnology Portfolio,,
Fidelity Select Communication Services Portfolio,0000320351,S000007476
Fidelity Select Port. - IT Services Portfolio,,
FMI Common Stock Fund,0001023391,S000000831
Fidelity Contrafund,0001039001,S000006037
Fidelity Growth Discovery Fund,0000035348,S000007019
Fidelity Select Industrials Portfolio,0000320351,S000007455
Fidelity Capital Appreciation Fund,0000744822,S000005439
Tech Hardware Portfolio,0000320351,S000007493
Fidelity Growth Strategies Fund,0000754510,S000007118
Fidelity Disciplined Equity Fund,0000275309,S000005451
Fidelity Advisor Diversified Stock Fund,0000035331,S000006055
Fidelity Advisor Capital Development Fund,0000035331,S000006056
Fidelity Select Consumer Staples Portfolio,0000320351,S000007463
Fidelity Dividend Growth Fund,0000754510,S000005119
Fidelity Growth Company Fund,0000754510,S000007119
Fidelity Inv. Trust - Diversified International Fund,,
Fidelity Select Leisure Portfolio,0000320351,S000007471
Fidelity Stock Selector Fund,0000035341,S000005120
Fidelity Value Fund,0000754510,S000005123
First Eagle Fund of America,,
Fidelity Advisor Series I - Equity Income Fund,0000729218,S000005122
AMG FQ Long Short Equity Fund,,
Fidelity Equity Income Fund,0000744822,S000005122
Nuveen Dividend Value Fund,0000820892,S000005579
Fidelity Fund,0000880195,S000036849
Federated Hermes International Leaders Fund,0000918199,S000009124
Fidelity Growth & Income Portfolio,,
Federated Hermes MDT Mid Cap Growth Fund,0001363526,S000009733
Fidelity Inv. Trust - China Region Fund,,
Fidelity Inv. Trust - Canada Fund,,
Fidelity Select Financial Services Portfolio,,
Fidelity Inv. Trust - Europe Fund,,
Fidelity Inv. Trust - International Discovery Fund,,
Franklin Equity Income Fund,0000809707,S000006852
Fidelity Telecom & Utilities Fund,,
Fidelity Inv. Trust - International Capital Appreciation Fund,,
Fidelity Inv. Trust - Japan Fund,,
Fidelity Inv. Trust - Japan Smaller Companies Fund,,
Franklin DynaTech Fund,0000837274,S000006754
Franklin Growth Fund,0000880366,S000006742
Franklin Gold & Precious Metals Fund,,
Franklin Utilities Fund,0000038721,S000006758
Fidelity Large Cap Stock Fund,0000035348,S000006008
Fidelity Low Priced Stock Fund,0000081205,S000007152
Fidelity Magellan Fund,0000061397,S000007112
Federated Hermes Mid Cap Index Fund,0000861469,S000009098
Wasatch Global Value Fund,0000806633,S000024179
Fidelity New Millennium Fund,0000707823,S000007120
Fidelity Select Natural Resources Portfolio,,
Fidelity Inv. Trust - Nordic Fund,,
Tributary Balanced Fund,0000932381,S000022136
Fidelity OTC Portfolio,0000754510,S000065698
ClearBridge International Growth Fund,0001474103,S000036166
Tributary Small Company Fund,0000932381,S000022139
FPA Crescent Fund,0000924727,S000009495
Fidelity Inv. Trust - Pacific Basin Fund,,
Fidelity Puritan Fund,0000081205,S000007153
Franklin Mutual US Value Fund,,
Franklin Rising Dividends Fund,0000837274,S000006858
Nuveen Investment Funds -Nuveen Real Estate Securities Fund,0000820892,S000005563
Franklin Real Estate Securities Fund,0000912291,S000006874
Fidelity Real Estate Investment Portfolio,0000320351,S000006069
Franklin Mutual Small-Mid Cap Value Fund,0000856119,S000007354
Franklin Small Cap Value Fund,0000933691,S000007315
Fidelity Select Port. - Gold Portfolio,,
Fidelity Select Automotive Portfolio,0000320351,S000007464
Nuveen Small Cap Value Fund,0001013881,S000005570
Fidelity Advisor Series I - Small Cap Fund,0000722574,S000042622
Fidelity Select Chemicals Portfolio,0000320351,S000007492
Fidelity Select Consumer Discretionary Portfolio,0000320351,S000007454
Fidelity Select Software & IT Services Portfolio,,
Fidelity Select Defense & Aerospace Portfolio,,
Fidelity Select Materials Portfolio,0000320351,S000007469
Fidelity Select Port. - Semiconductors Portfolio,,
Fidelity Extended Market Index Fund,0000819118,S000006021
Fidelity Select Energy Portfolio,0000320351,S000007459
Fidelity Select Health Care Services Portfolio,0000320351,S000007472
Fidelity Select Construction & Housing Portfolio,,
Fidelity International Index Fund,0000215829,S000019926
Fidelity Select Brokerage & Investment Management Portfolio,,
Fidelity Select Environment & Alternative Energy Portfolio,,
Fidelity Select Medical Technology & Devices Portfolio,,
Fidelity Select Insurance Portfolio,0000320351,S000007470
Fidelity Select Port. - Health Care Portfolio,,
Fidelity Select Port. - Technology Portfolio,,
Fidelity Select Banking Portfolio,0000320351,S000007475
Fidelity Select Transportation Portfolio,0000320351,S000007453
Fidelity Select Retailing Portfolio,0000320351,S000007482
Federated Hermes Global Allocation Fund,0000013386,S000009117
Fidelity Select Port. - Telecommunications Portfolio,,
Federated Hermes MDT Large Cap Value Fund,0001363526,S000058355
Fidelity Total Market Index Fund,0000035315,S000065248
Fidelity Select Utilities Portfolio,0000320351,S000007488
FinTech Portfolio,0000320351,S000007467
Fidelity Trend Fund,0000035402,S000007496
Fidelity 500 Index Fund,0000035315,S000006027
AMG Veritas China Fund,0000882443,S000009911
Fidelity Inv. Trust - Worldwide Fund,,
Gabelli Global Content & Connectivity Fund,,
Gabelli Value 25 Fund (The),0000853438,S000001076
Gabelli Asset Fund (The),0000783898,S000001087
Gabelli ABC Fund (The),0000893783,S000001070
Gabelli Equity Income Fund (The),0000877670,S000001061
Gabelli Growth Fund (The),0000909504,S000001071
Gabelli Small Cap Growth Fund (The),0000877670,S000001062
Gabelli Global Rising Income & Dividend Fund (The),,
Gateway Fund,0001314414,S000028739
Van Eck Emerging Markets Fund,,
NexPoint Climate Tech Fund,0000891079,S000001623
Green Century Balanced Fund,0000877232,S000007714
Goldman Sachs International Equity Insights Fund,0001046292,S000009330
Goldman Sachs Small Cap Equity Insights Fund,0001046292,S000009329
Goldman Sachs Large Cap Value Insights Fund,0000822977,S000009326
State Street Instl. Fds. - Institutional US Equity Fund,,
Goldman Sachs Emerging Markets Equity Fund,0000822977,S000017726
Victory Sycamore Established Value Fund,0000802716,S000019850
Guinness Atkinson Asia Focus Fund,0000919160,S000005893
Guinness Atkinson China & Hong Kong Fund,,
Guinness Atkinson Global Innovators Fund,0000919160,S000005895
VanEck Global Resources Fund,0000811976,S000009222
Gabelli International Growth Fund,0000925463,S000001069
Goldman Sachs Large Cap Growth Insights Fund,0000822977,S000009328
Victory Sycamore Small Company Opportunity Fund,0000802716,S000000800
Gabelli Gold Fund Inc.,0000923459,S000001068
Cromwell Greenspring Mid Cap Fund,0001872253,S000080740
Goldman Sachs China Equity Fund,0000822977,S000009337
